1576845026037, START
1576845093957, walking
1576845099624, stop
1576845102347, open_door
1576845103867, walking
1576845108506, stop
1576845109666, open_door
1576845110942, walking
1576845121688, abrupt_stop
1576845122943, open_door
1576845124184, walking
1576845134524, stair_up
1576845139717, walking
1576845142431, stair_up
1576845147737, walking
1576845151407, stop
1576845152487, open_door
1576845153878, walking
1576845177497, stop
1576845178329, open_door
1576845179581, walking
1576845200035, stair_down
1576845204780, walking
1576845207401, stair_down
1576845211960, walking
1576845218961, stop
1576845219567, open_door
1576845220391, walking
1576845256934, stair_down
1576845262082, walking
1576845263550, stair_down
1576845268101, walking
1576845272971, stair_down
1576845273962, walking
1576845282454, stair_down
1576845283562, walking
1576845300696, ramp_down
1576845309040, walking
1576845310633, ramp_down
1576845319344, stair_down
1576845322925, walking
1576845337011, abrupt_stop
1576845338975, walking
1576845361445, stop
1576845363387, walking
1576845432473, ramp_up
1576845444363, walking
1576845445788, ramp_up
1576845454041, walking
1576845467189, ramp_up
1576845469800, walking
1576845476762, ramp_up
1576845478837, walking
1576845482854, stair_up
1576845488093, walking
1576845489624, stair_up
1576845495344, walking
1576845500918, stop
1576845502009, walking
1576845517299, stop
1576845522315, walking
1576845542167, stop
1576845543508, open_door
1576845545022, walking
1576845551728, stop
1576845553326, open_door
1576845554839, walking
1576845572195, stop
1576845633257, END
